code_commune,annee,trimestre,prix_m2_median,surface_median,nb_transactions,type_bien_mode,inflation,lon_commune,lat_commune,dist_gare_km,gares_1km,gares_2km
75101,2020.0,1.0,11764.70588235294,28.0,15,appartement,1.3666666666666665,,,,,
75101,2020.0,2.0,12464.285714285714,55.0,15,appartement,0.3333333333333333,,,,,
75101,2020.0,3.0,11024.305555555555,43.5,14,appartement,0.3666666666666667,,,,,
75101,2020.0,4.0,6098.051948051948,79.0,6,appartement,0.10000000000000002,,,,,
75101,2021.0,1.0,12875.0,40.0,25,appartement,1.0,,,,,
75101,2021.0,2.0,13100.852272727272,47.5,36,appartement,1.7666666666666666,,,,,
75101,2021.0,3.0,12000.0,75.0,57,appartement,2.1999999999999997,,,,,
75101,2021.0,4.0,13000.0,30.0,29,appartement,3.3333333333333335,,,,,
75101,2022.0,1.0,11887.351778656126,48.0,32,appartement,4.2,,,,,
75101,2022.0,2.0,12357.142857142857,43.0,49,appartement,5.8999999999999995,,,,,
75101,2022.0,3.0,11930.0,48.0,61,appartement,6.533333333333334,,,,,
75101,2022.0,4.0,12565.217391304348,51.0,43,appartement,6.966666666666666,,,,,
75101,2023.0,1.0,10003.870967741936,65.0,22,appartement,7.0,,,,,
75101,2023.0,2.0,12375.0,44.0,51,appartement,6.066666666666666,,,,,
75101,2023.0,3.0,10903.532608695652,42.0,44,appartement,5.5,,,,,
75101,2023.0,4.0,12760.0,35.0,33,appartement,4.166666666666667,,,,,
75101,2024.0,1.0,12096.774193548386,54.0,27,appartement,3.0,,,,,
75101,2024.0,2.0,13304.70588235294,44.0,25,appartement,2.5,,,,,
75101,2024.0,3.0,10660.0,30.0,46,appartement,2.1,,,,,
75101,2024.0,4.0,11941.219434931507,61.0,26,appartement,1.7,,,,,
75101,2025.0,1.0,10619.469026548673,50.0,9,appartement,1.2,,,,,
75101,2025.0,2.0,11617.64705882353,72.0,9,appartement,0.7999999999999999,,,,,
75101,2025.0,3.0,12487.519704433496,40.0,6,local industriel. commercial ou assimilé,0.8500000000000001,,,,,
75101,2025.0,4.0,10710.691823899371,47.5,18,appartement,,,,,,
75102,2020.0,1.0,11882.867132867133,37.0,28,appartement,1.3666666666666665,,,,,
75102,2020.0,2.0,12387.95518207283,30.0,26,appartement,0.3333333333333333,,,,,
75102,2020.0,3.0,10877.777777777777,28.0,22,appartement,0.3666666666666667,,,,,
75102,2020.0,4.0,11515.104166666668,34.0,20,appartement,0.10000000000000002,,,,,
75102,2021.0,1.0,11500.0,40.0,53,appartement,1.0,,,,,
75102,2021.0,2.0,11050.803278688523,39.5,56,appartement,1.7666666666666666,,,,,
75102,2021.0,3.0,11690.0,36.0,61,appartement,2.1999999999999997,,,,,
75102,2021.0,4.0,10909.09090909091,40.0,53,appartement,3.3333333333333335,,,,,
75102,2022.0,1.0,10238.095238095239,35.0,49,appartement,4.2,,,,,
75102,2022.0,2.0,10966.206896551725,40.0,67,appartement,5.8999999999999995,,,,,
75102,2022.0,3.0,11788.732394366198,47.0,67,appartement,6.533333333333334,,,,,
75102,2022.0,4.0,11105.690789473683,54.5,48,appartement,6.966666666666666,,,,,
75102,2023.0,1.0,10869.565217391304,45.0,45,appartement,7.0,,,,,
75102,2023.0,2.0,10422.41379310345,42.5,60,appartement,6.066666666666666,,,,,
75102,2023.0,3.0,10323.809523809523,39.0,64,appartement,5.5,,,,,
75102,2023.0,4.0,12016.842105263158,30.0,57,appartement,4.166666666666667,,,,,
75102,2024.0,1.0,10796.309523809523,41.5,36,appartement,3.0,,,,,
75102,2024.0,2.0,10583.040935672514,36.0,56,appartement,2.5,,,,,
75102,2024.0,3.0,11112.5,30.0,47,appartement,2.1,,,,,
75102,2024.0,4.0,9420.289855072464,45.0,45,appartement,1.7,,,,,
75102,2025.0,1.0,9076.923076923076,16.0,7,appartement,1.2,,,,,
75102,2025.0,2.0,10775.0,55.5,34,appartement,0.7999999999999999,,,,,
75102,2025.0,3.0,10700.0,42.0,15,appartement,0.8500000000000001,,,,,
75102,2025.0,4.0,9711.111111111111,45.0,17,appartement,,,,,,
75103,2020.0,1.0,11890.547263681592,37.0,35,appartement,1.3666666666666665,,,,,
75103,2020.0,2.0,12708.333333333332,32.5,38,appartement,0.3333333333333333,,,,,
75103,2020.0,3.0,12120.158684210526,51.0,43,appartement,0.3666666666666667,,,,,
75103,2020.0,4.0,11683.75,45.0,45,appartement,0.10000000000000002,,,,,
75103,2021.0,1.0,9583.333333333334,50.0,119,appartement,1.0,,,,,
75103,2021.0,2.0,11750.408496732027,57.5,64,appartement,1.7666666666666666,,,,,
75103,2021.0,3.0,11680.060606060606,45.0,94,appartement,2.1999999999999997,,,,,
75103,2021.0,4.0,12792.156862745098,38.5,56,appartement,3.3333333333333335,,,,,
75103,2022.0,1.0,12432.275,48.0,76,appartement,4.2,,,,,
75103,2022.0,2.0,12017.816091954022,43.5,84,appartement,5.8999999999999995,,,,,
75103,2022.0,3.0,12296.875,42.0,77,appartement,6.533333333333334,,,,,
75103,2022.0,4.0,11777.777777777777,44.0,81,appartement,6.966666666666666,,,,,
75103,2023.0,1.0,11804.959913793104,43.5,62,appartement,7.0,,,,,
75103,2023.0,2.0,11215.485714285714,35.0,97,appartement,6.066666666666666,,,,,
75103,2023.0,3.0,11712.831050228311,45.0,76,appartement,5.5,,,,,
75103,2023.0,4.0,11707.555555555555,45.0,76,appartement,4.166666666666667,,,,,
75103,2024.0,1.0,11025.0,43.5,68,appartement,3.0,,,,,
75103,2024.0,2.0,11360.0,45.0,69,appartement,2.5,,,,,
75103,2024.0,3.0,11443.298969072164,45.0,73,appartement,2.1,,,,,
75103,2024.0,4.0,10923.75,45.0,62,appartement,1.7,,,,,
75103,2025.0,1.0,12414.912280701754,28.0,8,appartement,1.2,,,,,
75103,2025.0,2.0,12272.727272727272,50.0,33,appartement,0.7999999999999999,,,,,
75103,2025.0,3.0,12038.461538461539,45.0,21,appartement,0.8500000000000001,,,,,
75103,2025.0,4.0,11133.333333333334,42.0,39,appartement,,,,,,
75104,2020.0,1.0,12875.0,38.0,35,appartement,1.3666666666666665,,,,,
75104,2020.0,2.0,14110.896017699115,47.0,26,appartement,0.3333333333333333,,,,,
75104,2020.0,3.0,13190.743338008415,34.5,26,appartement,0.3666666666666667,,,,,
75104,2020.0,4.0,13659.135610766047,45.0,20,appartement,0.10000000000000002,,,,,
75104,2021.0,1.0,13235.29411764706,40.0,61,appartement,1.0,,,,,
75104,2021.0,2.0,13022.734082397004,53.5,48,appartement,1.7666666666666666,,,,,
75104,2021.0,3.0,12170.517276630546,41.0,54,appartement,2.1999999999999997,,,,,
75104,2021.0,4.0,12700.845665961944,42.0,44,appartement,3.3333333333333335,,,,,
75104,2022.0,1.0,13188.98381294964,42.5,54,appartement,4.2,,,,,
75104,2022.0,2.0,12043.26923076923,39.0,46,appartement,5.8999999999999995,,,,,
75104,2022.0,3.0,12758.454106280193,44.0,54,appartement,6.533333333333334,,,,,
75104,2022.0,4.0,12856.166666666666,43.0,53,appartement,6.966666666666666,,,,,
75104,2023.0,1.0,12328.743811881188,41.5,50,appartement,7.0,,,,,
75104,2023.0,2.0,11658.875,48.5,56,appartement,6.066666666666666,,,,,
75104,2023.0,3.0,13031.25,44.0,45,appartement,5.5,,,,,
75104,2023.0,4.0,11733.893557422969,45.0,56,appartement,4.166666666666667,,,,,
75104,2024.0,1.0,11896.551724137931,40.0,37,appartement,3.0,,,,,
75104,2024.0,2.0,11852.222222222223,48.5,40,appartement,2.5,,,,,
75104,2024.0,3.0,12672.222222222223,47.5,48,appartement,2.1,,,,,
75104,2024.0,4.0,12936.647727272728,50.5,62,appartement,1.7,,,,,
