code_commune,annee,trimestre,prix_m2_median,surface_median,nb_transactions,type_bien_mode,inflation,dist_gare_km,gares_1km,gares_2km,lat_commune,lon_commune,dist_metro_km,metros_500m,metros_1km,prix_m2_median_dvf,surface_median_dvf,nb_transactions_dvf,pieces_median,surface_terrain_median,lots_median,type_bien_mode_dvf
77001,2020.0,1.0,2708.3333333333335,120.0,4,maison,1.3666666666666665,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,328600.0,120.0,5.0,5.0,639.0,0.0,Maison
77001,2020.0,2.0,2407.4074074074074,135.0,1,maison,0.3333333333333333,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,100000.0,135.0,3.0,5.0,866.0,0.0,Maison
77001,2020.0,3.0,1857.142857142857,77.0,1,appartement,0.3666666666666667,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,264000.0,77.0,11.0,3.0,480.5,0.0,Appartement
77001,2020.0,4.0,2121.212121212121,132.0,1,appartement,0.1,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,13700.0,132.0,17.0,5.0,658.5,0.0,Appartement
77001,2021.0,1.0,3039.0625,96.0,7,maison,1.0,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,430000.0,43.5,19.0,1.5,786.0,0.0,Dépendance
77001,2021.0,3.0,2909.090909090909,165.0,3,maison,2.1999999999999997,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,480000.0,0.0,10.0,0.0,2886.0,0.0,Dépendance
77001,2021.0,4.0,2857.4671669793624,106.0,2,maison,3.3333333333333335,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,217200.0,106.0,10.0,4.0,631.5,0.0,Maison
77001,2022.0,1.0,3262.1461594346474,125.0,2,maison,4.2,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,391730.0,103.0,9.0,5.0,1385.0,0.0,Maison
77001,2022.0,2.0,2784.0425531914893,94.0,1,maison,5.8999999999999995,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,261700.0,94.0,4.0,4.0,988.0,0.0,Maison
77001,2022.0,3.0,3630.528846153846,88.5,6,maison,6.533333333333334,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,362000.0,22.0,27.0,1.0,422.0,0.0,Maison
77001,2022.0,4.0,2531.8287037037035,179.5,2,maison,6.966666666666666,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,371000.0,135.0,11.0,4.0,1515.0,0.0,Maison
77001,2023.0,1.0,4269.2307692307695,76.5,2,maison,7.0,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,300000.0,37.5,7.0,1.5,471.0,0.0,Dépendance
77001,2023.0,2.0,2957.8189300411523,176.5,4,maison,6.066666666666666,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,498250.0,40.0,16.0,2.5,609.0,0.0,Maison
77001,2023.0,3.0,3300.253036437247,104.0,6,maison,5.5,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,135000.0,104.0,11.0,4.0,405.0,0.0,Maison
77001,2023.0,4.0,1902.4370835712923,102.5,2,maison,4.166666666666667,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,124304.0,102.5,5.0,4.5,1003.0,0.0,Maison
77001,2024.0,1.0,4444.174757281553,108.0,5,maison,3.0,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,570000.0,103.0,11.0,4.0,619.0,0.0,Maison
77001,2024.0,2.0,1310.7142857142858,121.5,4,maison,2.5,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,153000.0,101.5,13.0,4.0,410.0,0.0,Maison
77001,2024.0,4.0,2408.7673285874857,146.5,4,maison,1.7,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,350000.0,136.0,9.0,6.0,516.0,0.0,Maison
77001,2025.0,4.0,2892.222222222222,135.0,2,maison,,10.027567046407263,0,0,48.354124446530115,2.5601758267165677,44.06516588034283,0,0,390450.0,0.0,6.0,0.0,836.0,0.0,Dépendance
77002,2020.0,1.0,2704.741379310345,106.0,2,maison,1.3666666666666665,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,276000.0,106.0,14.0,5.0,339.5,0.0,Maison
77002,2020.0,4.0,2076.923076923077,130.0,5,maison,0.1,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,270000.0,130.0,9.0,5.0,500.0,0.0,Maison
77002,2021.0,1.0,1996.3674104826157,132.0,4,maison,1.0,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,289000.0,0.0,10.0,0.0,946.5,0.0,Dépendance
77002,2021.0,2.0,1512.0,125.0,1,maison,1.7666666666666666,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,100500.0,125.0,2.0,5.0,837.0,0.0,Maison
77002,2021.0,3.0,2100.0,35.0,1,appartement,2.1999999999999997,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,73500.0,35.0,1.0,1.0,,2.0,Appartement
77002,2021.0,4.0,1163.7426900584796,171.0,1,maison,3.3333333333333335,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,199000.0,0.0,4.0,0.0,455.0,0.0,Dépendance
77002,2022.0,1.0,2391.304347826087,46.0,3,maison,4.2,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,154000.0,0.0,11.0,0.0,335.0,0.0,Dépendance
